Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20
Type 1 diabetes,Increased thirst,Frequent urination,Bed wetting,Increased hunger,Weight loss,Irritated,Tired,Blurred vision,Mood swings,126 mg/DL glucose level,,,,,,,,,,
Type 2 Diabetes,Increased thirst,Frequent urination,Increased hunger,Tiredness,Blurred vision.,Slow healed wounds,Frequent infections,Numbness,Fatigue,126 mg/DL glucose level,,,,,,,,,,
Gestational Diabetes,Increased thirst,Frequent urination,Dry mouth,Blurred eyesight,Genital itching,Thrush,130 to 140 mg/dL glucose level,,,,,,,,,,,,,
Maturity onset diabetes of the young (MODY),Frequent urination,Increased thirst,Dehydration,Blurred vision,Recurrent skin infections,Recurrent yeast infection,between 5.5-8mmol/L glucose level,,,,,,,,,,,,,
Neonatal Diabetes,Excessive thirst,Frequent urination,Dehydration,Hyperglycaemia,Hypoglycaemia,Increased appetite,between 70 and 150 mg/dL glucose level,,,,,,,,,,,,,
Wolfram Syndrome,Hearing loss,Urinary tract abnormalities,Excessive thirst,Neuropsychiatric Issues,Loss visual acuity,Renal problems,Growth delayed,Ataxia,Seizures,Swallowing difficulty,Insomnia,Hypogonadism,Hyperpigmentation,Mood disorders,Persistent,scoliosis,Peripheral nerve issues,Taste changes,Potential arrhythmias,conduction abnormalities
Alstrom Syndrome,profound deafness,Difficulties in weight management,Dilated cardiomyopathy,Progressive vision loss,Short stature,Scoliosis,Thyroid dysfunction,Renal impairment,Behavioral problems,Delayed puberty,Congestive Heart Failure,Hormonal imbalanced,Joint problems,,,,,,,
Latent Autoimmune Diabetes in Adults (LADA),Autoimmune Reaction,Increased thirst,Frequent urination,Unexplained weight loss,Fatigue,Blurred vision,Frequent infections,Numbness,140â199 mg/dL glucose level,,,,,,,,,,,
Cystic Fibrosis Diabetes,Increased thirst,Increased urination,Excessive fatigue,Weight loss,Difficulty gaining weight,Blurry vision,Increased exacerbations,Increased chest infection,Declined lung function,between 4â10 mmol/L glucose level,,,,,,,,,,
Type 3c Diabetes,Abdominal pain,Malabsorption,Natural deficiencies,Frequent urination,Excessive fatigue,Weight loss,Frequent infections,126 mg/dL glucose level,,,,,,,,,,,,
Steroid-induced Diabetes,blocking the action of your insulin glucose level,Dry mouth,Thirst,Increased urination,Feeling tired,Weight loss,,,,,,,,,,,,,,
Type 1 diabetes,Increased thirst,Frequent urination,Bed wetting,Increased hunger,Weight loss,Irritated,Tired,Blurred vision,Mood swings,126 mg/DL glucose level,,,,,,,,,,
Type 2 Diabetes,Increased thirst,Frequent urination,Increased hunger,Tiredness,Blurred vision.,Slow healed wounds,Frequent infections,Numbness,Fatigue,126 mg/DL glucose level,,,,,,,,,,
Gestational Diabetes,Increased thirst,Frequent urination,Dry mouth,Blurred eyesight,Genital itching,Thrush,130 to 140 mg/dL glucose level,,,,,,,,,,,,,
Maturity onset diabetes of the young (MODY),Frequent urination,Increased thirst,Dehydration,Blurred vision,Recurrent skin infections,Recurrent yeast infection,between 5.5-8mmol/L glucose level,,,,,,,,,,,,,
Neonatal Diabetes,Excessive thirst,Frequent urination,Dehydration,Hyperglycaemia,Hypoglycaemia,Increased appetite,between 70 and 150 mg/dL glucose level,,,,,,,,,,,,,
Wolfram Syndrome,Hearing loss,Urinary tract abnormalities,Excessive thirst,Neuropsychiatric Issues,Loss visual acuity,Renal problems,Growth delayed,Ataxia,Seizures,Swallowing difficulty,Insomnia,Hypogonadism,Hyperpigmentation,Mood disorders,Persistent,scoliosis,Peripheral nerve issues,Taste changes,Potential arrhythmias,conduction abnormalities
Alstrom Syndrome,profound deafness,Difficulties in weight management,Dilated cardiomyopathy,Progressive vision loss,Short stature,Scoliosis,Thyroid dysfunction,Renal impairment,Behavioral problems,Delayed puberty,Congestive Heart Failure,Hormonal imbalanced,Joint problems,,,,,,,
Latent Autoimmune Diabetes in Adults (LADA),Autoimmune Reaction,Increased thirst,Frequent urination,Unexplained weight loss,Fatigue,Blurred vision,Frequent infections,Numbness,140â199 mg/dL glucose level,,,,,,,,,,,
Cystic Fibrosis Diabetes,Increased thirst,Increased urination,Excessive fatigue,Weight loss,Difficulty gaining weight,Blurry vision,Increased exacerbations,Increased chest infection,Declined lung function,between 4â10 mmol/L glucose level,,,,,,,,,,
Type 3c Diabetes,Abdominal pain,Malabsorption,Natural deficiencies,Frequent urination,Excessive fatigue,Weight loss,Frequent infections,126 mg/dL glucose level,,,,,,,,,,,,
Steroid-induced Diabetes,blocking the action of your insulin glucose level,Dry mouth,Thirst,Increased urination,Feeling tired,Weight loss,,,,,,,,,,,,,,
Type 1 diabetes,Increased thirst,Frequent urination,Bed wetting,Increased hunger,Weight loss,Irritated,Tired,Blurred vision,Mood swings,126 mg/DL glucose level,,,,,,,,,,
Type 2 Diabetes,Increased thirst,Frequent urination,Increased hunger,Tiredness,Blurred vision.,Slow healed wounds,Frequent infections,Numbness,Fatigue,126 mg/DL glucose level,,,,,,,,,,
Gestational Diabetes,Increased thirst,Frequent urination,Dry mouth,Blurred eyesight,Genital itching,Thrush,130 to 140 mg/dL glucose level,,,,,,,,,,,,,
Maturity onset diabetes of the young (MODY),Frequent urination,Increased thirst,Dehydration,Blurred vision,Recurrent skin infections,Recurrent yeast infection,between 5.5-8mmol/L glucose level,,,,,,,,,,,,,
Neonatal Diabetes,Excessive thirst,Frequent urination,Dehydration,Hyperglycaemia,Hypoglycaemia,Increased appetite,between 70 and 150 mg/dL glucose level,,,,,,,,,,,,,
Wolfram Syndrome,Hearing loss,Urinary tract abnormalities,Excessive thirst,Neuropsychiatric Issues,Loss visual acuity,Renal problems,Growth delayed,Ataxia,Seizures,Swallowing difficulty,Insomnia,Hypogonadism,Hyperpigmentation,Mood disorders,Persistent,scoliosis,Peripheral nerve issues,Taste changes,Potential arrhythmias,conduction abnormalities
Alstrom Syndrome,profound deafness,Difficulties in weight management,Dilated cardiomyopathy,Progressive vision loss,Short stature,Scoliosis,Thyroid dysfunction,Renal impairment,Behavioral problems,Delayed puberty,Congestive Heart Failure,Hormonal imbalanced,Joint problems,,,,,,,
Latent Autoimmune Diabetes in Adults (LADA),Autoimmune Reaction,Increased thirst,Frequent urination,Unexplained weight loss,Fatigue,Blurred vision,Frequent infections,Numbness,140â199 mg/dL glucose level,,,,,,,,,,,
Cystic Fibrosis Diabetes,Increased thirst,Increased urination,Excessive fatigue,Weight loss,Difficulty gaining weight,Blurry vision,Increased exacerbations,Increased chest infection,Declined lung function,between 4â10 mmol/L glucose level,,,,,,,,,,
Type 3c Diabetes,Abdominal pain,Malabsorption,Natural deficiencies,Frequent urination,Excessive fatigue,Weight loss,Frequent infections,126 mg/dL glucose level,,,,,,,,,,,,
Steroid-induced Diabetes,blocking the action of your insulin glucose level,Dry mouth,Thirst,Increased urination,Feeling tired,Weight loss,,,,,,,,,,,,,,
Type 1 diabetes,Increased thirst,Frequent urination,Bed wetting,Increased hunger,Weight loss,Irritated,Tired,Blurred vision,Mood swings,126 mg/DL glucose level,,,,,,,,,,
Type 2 Diabetes,Increased thirst,Frequent urination,Increased hunger,Tiredness,Blurred vision.,Slow healed wounds,Frequent infections,Numbness,Fatigue,126 mg/DL glucose level,,,,,,,,,,
Gestational Diabetes,Increased thirst,Frequent urination,Dry mouth,Blurred eyesight,Genital itching,Thrush,130 to 140 mg/dL glucose level,,,,,,,,,,,,,
Maturity onset diabetes of the young (MODY),Frequent urination,Increased thirst,Dehydration,Blurred vision,Recurrent skin infections,Recurrent yeast infection,between 5.5-8mmol/L glucose level,,,,,,,,,,,,,
Neonatal Diabetes,Excessive thirst,Frequent urination,Dehydration,Hyperglycaemia,Hypoglycaemia,Increased appetite,between 70 and 150 mg/dL glucose level,,,,,,,,,,,,,
Wolfram Syndrome,Hearing loss,Urinary tract abnormalities,Excessive thirst,Neuropsychiatric Issues,Loss visual acuity,Renal problems,Growth delayed,Ataxia,Seizures,Swallowing difficulty,Insomnia,Hypogonadism,Hyperpigmentation,Mood disorders,Persistent,scoliosis,Peripheral nerve issues,Taste changes,Potential arrhythmias,conduction abnormalities
Alstrom Syndrome,profound deafness,Difficulties in weight management,Dilated cardiomyopathy,Progressive vision loss,Short stature,Scoliosis,Thyroid dysfunction,Renal impairment,Behavioral problems,Delayed puberty,Congestive Heart Failure,Hormonal imbalanced,Joint problems,,,,,,,
Latent Autoimmune Diabetes in Adults (LADA),Autoimmune Reaction,Increased thirst,Frequent urination,Unexplained weight loss,Fatigue,Blurred vision,Frequent infections,Numbness,140â199 mg/dL glucose level,,,,,,,,,,,
